par_id,text,label
5629,"A child who turned against her pregnant mother, among ten other homeless children with their families in the city of Nuwara Eliya and struggled to protect themselves from freezing temperatures that fell below eight degrees Celsius, was the scenes observed on Thursday evening.",1
853,"Iain Duncan-Smith has clarified his feelings against the applicants: Poor families have to load previous cards with payments to ensure that they spend the money on food and not their ""self-destructive habits"".",1
2485,"In addition, Chan revealed that ""care and sharing"" will be a main topic of the upcoming budget plan, that is, to help social groups achieve the goal, support the disadvantaged support and to help children make society more harmonious.",1
3920,"5) Most Buddhist institutions and temples together have no programs to support refugees or protect homeless children or offer rehabilitation services. In contrast, the well-established Christian churches and new Protestant groups are active at village and city level to help affected people, e.g. Victims of political violence meet with their grief. In addition, they help people deal with more secular problems (22).",1
2803,"The Amimmm registers full sympathy with the unfortunate victims of violence and rape broken, especially the young lady, who was brutalized by animals on a moving bus in Delhi on the night of December 16, which rightly excited a large part of the Indians. All of these crimes against women and weaker sections, especially minorities, dalits and adivasis, are very condemned and show the whole country in extremely bad light. It is time for people, police, judicial and government authorities to fulfill their duties to protect the weak and in need of protection. The Aimmm calls on the government to introduce deterrent punishments for such brutal crimes. It should also be accelerated with the overdue police reforms to free the police from the British RAJ rules and to make it able to protect all citizens, human rights and honor of ordinary people.",1
668,"He is more than just an employer for his employees, to which young people are at risk, and single parents. Food and rent are paid for, and he pommes it for necessities such as the allowances or transport fees of children if someone is in need. Every month, the trained prison consultant also holds mentoring meetings for his employees.",1
7853,"Islamic philosophy has dealt in detail with the study of inherent mental qualities and tendencies among people with special consideration of moral virtue. Some people tend to strive for virtue and are consumed with the desire for knowledge of the divine world, which is known as M 'Arifat or Gnosis. Others tend to be carried away by the things and joys of the world. There is a center that orders of people who have a tendency to gnosis and also have the suitability for secular affairs. This last category is described by Imam Razi, which in the 12th century as ""the people of the right hand or the balanced people"" and such people rightly accompany the control over the affairs of their fellow human beings. The task is never easy; Mere quality is not a guarantee of success. The possession of all virtues alone is not enough. There must be inspiration from a higher source. Marifat's element delivers the necessary directions by keeping attention to the divine light. No leader of a community who has achieved success in the administration of his affairs, and certainly not a leader who has led his people out of the bondage or who saved them before the threat of hopeless immersion, this may ever have done this of the exercise of mere human intelligence or brain force or character.",1
10467,"""She has a huge platform and information can go to places where you really need to know what is going on in her hometown you can help the most needy in Houston and nearby.""",1
6052,"2017 Budget: More must be carried out for the disabled, e.g. B. groups",1
7110,"""For example, we also expanded the help of the people in Yong Peng, which is under the opposition because it is our responsibility to help the needy,"" he added.",1
5082,"Di Gipey, CEO of ASWS, said that the forensic doctor's report on the death of two women after long domestic violent stories had once again emphasized the urgent need to make real changes that make women and children secure.",1
7359,"Andrew Dunnett, director of the Vodafone Foundation that they would otherwise not have had. """,1
1556,The King Salman of Saudi Arabia ordered on Tuesday that women are allowed to drive cars and carry out a large reform that right -wing activists have long been demanding in the Islamic kingdom. Through ...,1
2382,Thousands of people who made homeless in a clearance drive in Kalyanpur Slum on Thursday occupy the open spaces in the Shanty city that they called at home after Bulldozer torn their apartments to the ground.,1
1416,"In every city or in every city where a local newspaper is distributed by Caxton, you will immerse yourself in your communities and provide support for projects that collect society. An outstanding community newspaper initiative is cubes (I take care of me enough), an important part of the Zululand observer, which has been indelibly connected to Zululand since 1973. It is not only active in the care of the vulnerable and expropriated and expropriated, but also in all areas of the community cancellation, wherever the need may be.",1
5948,Discrimination against the disabled by society is one of the main problems that undermine the progress of democratic practice in the country. It is always the dream of people with disabilities that their position in society is positively influenced as long as the Disability Act is adopted.,1
2477,"The demonstrators ""March for our lives"" included demonstrators children, young people, pregnant women, the old and the disabled who were not excluded on their wheel chairs.",1
6211,"""I think to us.""",1
1964,Hospitals fill up when Rohingya refugees tremble through the winter,1
4466,She said these women deserve the same choice as any women in the world.,1
5684,"Varanasi: Over six decades to independence and the Muslim community can still remain in the field of education. But a number of Muslim women and girls- especially from poor family come to dispel the darkness of ignorance and produce a new dawn for the upcoming generation of the community. They make the community proud by making sincere efforts to spread literacy, especially among other girls and children.",1
2695,"What we observed instead was an constantly betting educational breed, in which the poorest children are hopelessly equipped to fight. The signs are everywhere around us: the booming billion-dollar pounds of private tutors who were paid for the increase in students? ? ? Grades; The sharp parents' parents who do not stop at their children to the best schools, and the stressed students who tried to control a complex and often astonishing university approval system.",1
10424,"""I don't believe in abortion, I think it's bad. I would say women that they have their child and deliver God,"" said Julene.",1
2581,"The ten wheelchairs were searched for children who were identified by the host, the Salvation Army, so that they can become mobile, as the convener stated. Baps Charity would go somewhere to donate, provided that there are people who need donations without discrimination against religion, color, origin or tribe, he said.",1
266,"""How Briggs & Amp; Stratton celebrates his year for the 110th anniversary, there is better to reaffirm our commitment to the Milwaukee community than to provide children who need pediatric care,"" said 1 million US dollars, ""said Rick Carpenter, Vice President Corporate Marketing. ""We are lucky enough to have one of the best pediatric hospitals in the country here in our community and Briggs & Amp; Stratton is firmly behind his commitment to extend his support for the future.""",1
9126,Yes ... because there is no hope where he lives. India is a third world country. Don't be fooled by call centers in large cities. Most of the country is rural and most of the population is illiterate and hopeless.,1
3399,"For refugees who beg for new life, the Christmas mood is a luxury that most of them could not afford to expect under shade of long -lasting conflicts.",1
7138,"Ruby* lived a life in abuse, drugs, homelessness and prostitution for 12 years. But two months ago she joined the few happy people to escape the horror of prostitution.",1
8206,"In an un marked brick building, a few blocks from the Mexican border, competitive parents with a migration background the folders from birth certificates and asylum documents and sat on folding chairs that were waiting to use a single, shared landline phone.",1
206,"Smyth said to HKFP: ""The biggest challenge is the guideline without work. I think that refugees who come here, or asylum seekers, they cannot work and have children here - their children are stateless. That is really the matter of a lot of stress In the community. """,1
8165,"Through Gawad Kalinga, Meloto has proven to be an important player in the housing industry and contributed to offering decent houses and sustainable livelihood to the marginalized and homeless Filipinos.",1
7341,Egypt Milliari Ssare offers for the purchase of Mediterranean island for refugees,1
4963,"The main accuracy organization of Pageants SA is the Dignity Dreams project, in which school girls are given reusable, washable sanitary towels in need.",1
5827,"The inhabitants of Poranu Kotuwa, who were withdrawn from a healthy and independent life in normal weather conditions, face a really hopeless future.",1
343,"Helen Schafer decided to help a family in need. ""Instead of sending my customers gifts, I sent you a letter that effectively said:"" This is what we will do because it is damn much more sensible "".""",1
8630,"""Every family that qualifies for the program should be covered. Every child in poor families has to be placed and kept at school, and they should enjoy health and nutritional aid, said Romualdez.",1
6811,"While many Muslims can rely on their blessings, they should not forget the fate of those who are poor and need help.",1
717,"This year her persistent commitment and her non -profit victim recognizes to help all needy through mutual help, real camaraderie and solid memory in the past 90 years to help the moths of the better 'old pussy hole for the duration of this year's Wayside Crossembrance -Ceremony.",1
1117,"Despite excellent academic qualifications, Rani is shown the door for countless interviews for a teaching position. After five years she finally gets a job at St. Notkers, but there is a catch. She receives the notorious 9f, the ""hopeless"" students from the nearby slums, who are studying at school due to the right to education, but are not accepted by the teachers or by the students.",1
1482,"Aklima Sultana, a teacher of the institution, said The Daily Star? I am very proud when I think I teach disadvantaged students from very poor families. ?",1
5195,"But what is the most striking about Mr. Trump's answer is the dark picture that he hurts in the city center of America and black life: poverty, gun power, bad education and hopelessness.",1
6988,After the controversy of the Vatican period,1
9850,Pope Francis distributed the poor and needy to a cornerstone of his papacy and set up the homeless near the Vatican and even a visit to the VIP style in the Sistine Chapel.,1
8093,"""Most of the time they will hear people who are in favor of taking up women in the government because they are at risk. However, what most people do not recognize is that disabled people are even more susceptible than women and supported"", "" he added "".",1
8894,"""We would like to deliver these bikes for Vietnamese students from poor families in remote areas so that they can continue their studies,"" said Michael Shuman, a former US navy.",1
1899,"The case of Kalpana Chakma shows how to underproject a people through attacks on women and how the guilty people who can make it guilty can get away from Scottish. This woman showed an excellent courage, a lion's heart that spoke for the injured until she was silent to silence herself.",1
9312,Large parts of the South African country are owned by the government and are not used or are not used. The government can easily transfer a large part of this country to well -deserved poor families and communities.,1
2388,"Fashion good and bad, as in the pants that are displayed so few backsides. Or dresses and skirts that were cut so high when a girl collects something from a shelf or closet that is exposed to their underwear for the world. Funny lifestyles for the rich and famous, in which they spend millions of dollars in clothing, luxury vehicles on land and sea, etc., while other Americans roll in misery, unemployed, hungry and homeless.",1
8712,"On the Morningside College, the 5th annual attack of the Killer -Dodege Ball tournament on the Morningside College flew quickly and hard. The double elimination tournament this year had 18 teams to collect donations for the Community Action Agency of Siouxlands Welcome Home Project. "" , with the help of a family development specialist, helps you to turn your life around.",1
8797,"The school for blind, deaf and stupid, isulo, anambra state, which parades a number of beautiful structures, is one of the schools that fight with lack of facilities to meet the special educational needs of the children. According to Felix Nwaochi, General President of the ISULO community, the school needs seriously water supply, since many of the blind students have to get water out of a stream to survive at school.",1
5187,"""So, instead of the accusation, let us close our hands into general work. Let us feed the hungry, let us put the homeless people accommodate work to those who have none and let's let those who are sick, Bring medication, ""said Uhuru, Uhuru.",1
9488,"This foundation became an oasis for Grant's pen residents, and when it was our motto ""deeds that love"", political tensions and hopeless young people could be able to do skills training while the foundation worked with Heart Trust/NTA to make them to make them they are applicable.",1
9036,"The sound of the bulldozers, which are getting closer, the presence of the body in prayer in prayer in the white eritreish scarves (Suria) next to me, the side between the petitions of the quiet petitions of hope and peace in addition to the violence of destruction and hopelessness for the words that attempted and failed to describe the scene. Witnesses became a witness to tears.",1
6398,"""Today's world needs this: This joy, which arises from the encounter with Christ in a life of the personal and community prayer, when you listen to the word every day, in the encounter with brothers and sisters, in a happy brotherly life in the community , including fragility and in the embrace of Christ's meat in the arms.",1
6843,"With the assistance of the low element program by various NGOs, over 1,00,000 poor families who live in the areas of these districts have had success to overcome poverty since 2004.",1
6611,"The actions of the RDA are symptomatic of a much deeper national problem when creating Colombo society, which largely affects poor and in need of protection. Unfortunately, the sufferings of the poor are rarely heard. They are not aware of the laws and their rights and do not have the means of hiring lawyers and spending years in court to apply for compensation.",1
514,"""H.E.R.O. gives employees the opportunity to reach and help the needy,"" said the Cemex Treasury Operations Team in Asia Daisy Delos Angeles. She also believes that the volunteer work of employees such as what they do indicate the uniform mission of employees and participation is to demonstrate the concern for society.",1
3580,"The figure of the accident from the 19th century is conjured up from the smoky darkness of Industrial Leicester as a little boy whose drunk father pleads him in the world, but not from dragging the border and appearing just like everyone else. Our elephant man does not bear the growth and deformities of his historical predecessor, but Daniel Monks is physically disabled and gives history so much more gravitas. Under the comfort of his mother's wing, he travels into the enemy streets, to the freak show until even the tout rejects him because he ""makes an art form out of loneliness"".",1
1038,"However, displaced persons did not become homeless by developers and government agencies. Shifting and relocation in Singapore were treated with enormous care, and it is never started unless there are replacement homes or apartments for those affected.",1
1976,"""The American people, as we have always been, are there to work with African countries to ensure that their most endangered population groups receive life -saving support.",1
3462,The candidate promises to do good things and help the needy.,1
545,"This year Team Hope Shoeboxen from Ireland will become street children, orphans, children in the hospital, poor families, victims of the war and other needy situations in Eastern Europe and former Soviet Union, e.g. Romania, Kosovo, Albania and Africa, e.g. Cameroon, Congo, Rwanda.",1
8228,"At about the same time, she gave the invisible People project an interview that documents the life of the homeless. She seems hopeless, stepped back into her fate and her dubious future.",1
9608,"She said: ""I saw this need when I helped with the Eagles Wings Trust Mobile Suppe kitchen in Dundee. Toilet articles and other essentials make a big difference for people who are homeless or have no home.""",1
9745,"Defend your dignity as people and children of God. Do not allow the rich and powerful who are rich because they are poor to share them. They have light and water in their high fenced houses, not because they are Muslims or Christians or that they come from this or the other tribe, but simply because they are rich. They are poor, homeless, have no street, no water and their children are sick and illiterate, not because they are Christian or Muslim or from this or the other tribe, but simply because they are poor. You and your children choose, but your children don't choose because they are abroad. Her children begged and die on the street while their children abroad with those who call them unbelievers abroad brothers. They give them a false religion that enslaved them while they give their own children the religion of education that they free and let them rule them.",1
3701,"A cruel and violent political strategy <h> asylum seekers on Manus Island and Nauru were banished, driven out, crushed and hopelessly left.",1
6035,"Education in South Africa is a right and not a privilege, but an unfavorable background can unconsciously violate this right. It is an open secret that poverty is widespread in our country, so those who have enough privileges should help those who do not have it. It may sound like an exaggeration, but there are many girls who come from poor families who miss the school because there is a lack of sanitary cushions.",1
228,"If these problems are not addressed, there is every chance that another reporter will be back in another 20 years and wonder how it is possible that children in need of protection are still cursed with hunger and a terribly early death.",1
77,"In September, Major Nottle made his way from Melbourne to Canberra to advocate a national solution for the homeless problem.",1
8600,B.C. The Minister of Housing Selina Robinson said that the project is hope for many needy women and families.,1
3120,"An immigrant to a developed country lives in two worlds. In the metropolises, he meets a different way of looking at things. He develops new ideas and gains new trust. There are opportunities in the new country, he gets used to a good standard of living. But he is an outsider, not completely assimilated, ethnic belonging and culture distinguish him from the mainstream. He longs for familiarity, his roots. The idea of ​​withdrawing to the original country comes to him.",1
10311,"Poverty . Forty -seven million people rely on food brands. Thirty -eight millions of households have not saved anything for retirement. Around 1.2 million children are homeless. An estimated 58,000 veterans live on the streets every night. These facts are a national shame. America's massive, grinding poverty eats our strength. What kind of ""superpower"" does it allow a million children to grant themselves on the street for themselves?",1
179,"Jenny Neal, regional director of the Grandmother Advocacy Network for Saskatchewan and Manitoba, shows her orange scarf in the sculptures -Prärie -Wind on Thursday, November 24, 2016 Pender / The Starphoenix",1
845,"In her tweet, Reham emphasized how a ""real leader"" was supposed to protect the endangered communities.",1
5270,The Cape Argus has started a new collaborative editorial initiative called #thedignityproject-a 15-part daily series about the homeless in Cape Town. The homeless Danny Oosthuizen writes a daily column for the duration of the project. Read the fourth entry in Danny's diary below ...,1
3959,"Ms. Gacagua attributed her friendly gesture to a multi -year, disturbing sight of desperate children from poor families, the children from rich households, while they make happy during the festive seasons.",1
10020,"To mention whatever the level of disability is unnecessary, they are pending in addition to their continuing physical or mental challenges with persistent stigma and social exclusion. If life is different for adults, we can only imagine how it could be for children. Her parents become tired, frustrated and hopeless. Most of them lack financial and other resources to cope with the situation. It is almost unimaginable how stressful and helpless they feel and therefore fall back on a returned acceptance of fate.",1
8680,"""Every today's person can be hindered tomorrow. So we should treat our physically challenged brothers and sisters with dignity and respect,"" he warned.",1
1510,"""Someone has to be there to take care of it,"" he says. ""I think my passion for health policy results from these people in need of protection that are forgotten. This whole experience was more invigorated than I have ever thought.""",1
282,"Why is the turnout in rich countries like America as poor whose GDP may be high, but most homeless and poor people have? Democracy is not the solution to everything and most countries still don't practice democracy to the fullest. Poor countries have to prove that they are democratic to play the field in globalization and modernization and bring their arms into the election pool, which in many cases would much prefer to work in their fields, since politicians never really do it much anyway they did.",1
4014,Accountability indicates that the people who need our help and support could have done a little more to help themselves.,1
6130,"At the elaborate event, the first of his kind in Badagry, chairman of the association, spoke on Monday Denagan Honfovu, who also as President of the Badagry Community Youth Association, BCYA of the proverb: ""If you enable a woman, enable the nation"".",1
9084,"""Everyone makes a mistake, nobody was perfect. The execution is very bad, nobody likes it. We are very sorry for these poor, poor families.",1
10407,"He said his decision to help the needy did not benefit him personally, but ""more of such help was given by all the group's employees ... In one way or another, we all helped those in need.""",1
5920,"Mr. Mathur, who was born in India, came to Canada in the early 1970s. His hard -working parents with a migration background always inspired him to be resilient how they demonstrated by the difficulties of integrating into society, finding work and putting food on the table. He describes his upbringing as something spiritual, first in the city center of Toronto and then in Bramalea, northwest of Toronto, in an area of ​​the working class with young families, in which ""it seems sport.",1
2226,Mother of three children on the edge of the homeless <h> by,1
384,"""Many people need better streets, drinking water, skills, training and health facilities that need to be developed. They all want it to happen at the same time, and they have to explain to them that it is a process ... and will not be overnight happen.",1
8120,Now everyone wonders how she takes care of herself and lives with her disabled daughter after her husband died more than 20 years ago.,1
5023,"Despite the dwindling hope, Yemenis refuses to give up others in need.",1
4655,"Vatican city: Together with others and empathetic and approaching them to restore their dignity: This is the attitude that the Christian should before those who are in need, Pope Francis said in Casa Santa Marta this morning. Comments on today's Gospel from Lukas, who devoted himself to the report on the resurrection of the son of Christ.",1
8247,"""We decided to give them protection on humanitarian reasons (Rohingyas), which somehow entered the country by skipping border regulation,"" he said, adding that there are other refugees who also receive help in Bangladesh.",1
10135,"Indian children from poor families never have the chance to use a computer. You also don't have the chance to speak English. For the most part, their English teachers themselves have difficulty speaking because they too were badly taught.",1
8965,Over the years I have worked very hard to make this national shame known. Our most endangered citizens in long -term care facilities have no voice and fate was able to fill this emptiness by talking loudly and clearly for them and their families about abuses in long -term care facilities and in particular the over medication of speaking. The patients in these places.,1
6534,"The actor, who can be seen later this month in Avengers: Infinity War, asked himself to make the day of a young fan in need. On Wednesday, he hung around with Jacob Monday, who is a 16-year-old from the state of New York, who has cancer in the final stage. The teenager, who has a rare form of bone cancer, has a bucket list he worked through and it included meeting his favorite film star.",1
7370,"The spokesman for the foreign affairs, Charles Jose, said on Tuesday in a press conference that the Philippines, as signatories of the United Nations Convention in 1951, was obliged to expand the war refugees in connection with the status of refugees.",1
3954,"""If a single person is homeless and forced to live on the street in a country, it is shame for people in this country,"" he adds.",1
7805,"Cecil Duddley does the CEO of Dudley's Expressions, a modern state of art fashion couture in Ghana, who mainly focuses on fashion shows in Africa and Europe, but was also honored because he gave people hope for hopelessness by by He trained more than 1,000 people free of charge who can put food on their tables.",1
2822,"Yemen, Syria, Iraq and Libya are hopeless (anarchy) militia states; These are hopeless states, hopeless. How can we save these conditions? Even the US Army could not bring stability in Iraq after 10 years.",1
5432,"'A large, publicly financed program for energy efficiency is urgently needed to create jobs, reduce emissions and to save the lives of some of the most endangered people of Britain. ''",1
10324,"When the prophet Elia, the table bite, was so frustrated and hopeless that he looked at suicide and God said that he should kill him, was the first thing God did to solve his immediate need by giving him food. He gave him food again until he ate and his heart was populated and no longer thought of suicide.",1
8154,"This raises the question of the network of religious ""Madrassa"" formation, in which children from poor families are indoctrinated to carry out suicide attacks. In the past few months, several suicide bombers have been young children who were forced to hug the bomb instead of the book. So far, global outrage in this topic has been missing. <h> roadblocks in schools",1
4193,"In the late Monday, thousands of homeless Iranians crust against the cold, one day after at least 450 people who have been killed in Iranian earthquakes for more than a decade, reports Reuters, citing state television ....",1
7462,"By learning an ability and then passing it on to others, she not only changes the narrative about disabled people, but also helped him to overcome the trauma of a decade that she fought rebel groups under one of the most brutal in the world.",1
7396,"We work as if everything depends on us and pray as if everything depends on God. But he does more than we could ever do. We ask that we build our houses for the poor, homeless and needy. We build our own monasteries. We build our own beds and chairs. We cook, clean, make our own clothes, cut each other's hair.",1
8276,"When we talk about freedom, it is important to remember the brave war heroes who fought for our country around our country before the terrorism of L. T. T. E.. They sacrificed their lives. They lost their limbs. They were hindered and their families suffered greatly. The economy was ruined. Around 100,000 people, including civilians, lost their lives. Thousands were disabled. Are the people who lost their lives in the 30 -year war? Are those who saved their lives winners? I think we who have saved our lives from this tragedy should remember the lessons we have learned.",1
516,The group believes that only a Nana Addo/Bawumia government can arrest the depth of hopelessness in which the youth have come into the dreams of an integrative and wealthy nation.,1
1542,"He was born HIV positive. He is healthy, but when Sasha met him and volunteered in an orphanage, he weighed half as much as a 3 & amp; #xbd; A one -year -old boy should and his hair fell out. The only word he knew was Russian for ""don't do that"". The nurses said Sasha not to touch him. Not because of the HIV. It was love with which they were concerned. If he received them, he wants more, and nobody would be in termination. He aged from the station, and now they send him to another, even hopeless, where he would thrown into lost causes of all ages. And he would stay there as long as he stayed.",1
822,"Unfortunately, these only reach limited figures because the budgets necessarily have to be restricted. In our society, on our birthdays and in memory of our relatives who have passed on, we follow the tradition of giving people in dormitories alms as meals and donating individuals. The state and society see them both as a ""social service"" as a synonym for ""charity"". This has been the situation in Sri Lanka for many decades. People with disabilities are beneficiaries of goodwill and charity.",1
7983,"Keva Davis from the neighboring Red Ground community said that many of the less happy and homeless Negrils from Negril were the beneficiaries of the program, and she is very grateful for that.",1
2284,"The paper shows why stakeholder consultations with a large number of well -founded actors from companies, civil society, work organizations, academies and other people, including those who can offer a voice for the most endangered matter. It describes the various mechanisms and processes that countries such as Korea, Japan, the USA and others have introduced to ensure that the interests of the stakeholders have contributed to creating or compensating the wider goals of the trade negotiations.",1
4160,"It is worth noting that 23 children from endangered families in the community benefit from scholarship prices from our organization, including 3 in preschool and 20 at the SOS primary school.",1
3186,"When politicians discuss immigration, this is usually in high -flying terms. Jeb Bush says that ""immigrants create an engine of economic prosperity"". Politicians always speak of importing the best and smartest from abroad. But the salons in New York City capture the necessary reality of illegal immigration that creates islands of lawlessness, on which people can be abused with little consistency.",1
171,"""I am very pleased that the financial results of all of these companies donate to the cooperative. Since I am also part of 16xosu, I have another interest in the women in Uganda,"" said Triplett.",1
4527,"At the moment the families stay with friends and family. During the day, they clear the debris left behind by the fire and hope that someone will come to their rescue. They received emergency aid packs, but they still need clothes, beds, blankets and kitchen appliances.",1
10312,"In the past four decades, the Tribal Society has undergone the most torturing, bloody, destructive, split and increasingly brutalizing phases. The sons and daughters of these dark times saw nothing except barbaries, hopelessness and helplessness. The children of the jihad from the war zone had no window of opportunities or expression. When they saw a very good-looking young man and an up-and-coming model with fascinating clothing and seductive photo sessions-they simply couldn't endure it anymore and crowded to public spaces with a white flag in their hands. Suddenly we see a spring of Paschtun citizens' rights, which emerges from the death fields of Fata.",1
4376,It is lunchtime and we sit in the disappointed remains of the house that he paints today. The floor is littered with concrete shavings and the windows are all blown out. Pictures of these bombed houses from Aleppo come to mind. But this building is renovated so that the landowner can rent it to refugee families who can afford more than just a tent. Ibrahims are not one of these families.,1
4876,"Cold, wet and windy. Our teams were on the streets late in the early morning and feed homeless men and women #ichh #Retweet4Support",1
2465,"The capitalism of our time does not understand the value of the Union because it has forgotten the social nature of the economy, the company, life, ties and patents. But maybe our society does not understand the Union because it does not fight enough of the ""not"" right: in the existential suburbs under the thrown workers among immigrants, the poor that are under the city walls; Or it does not understand why corruption sometimes came to heart. Do not let this block this. """,1
7098,"Daraz.pk not only offers mega offers for its customers, but would also like to celebrate the Pakistani day with those who deserve it, but are not able to enjoy the same luxury. The online shopping portal has undertaken to return this Pakistani day and started the campaign ""You buy one that we donate"". With this campaign, Daraz has undertaken to help a Pakistani neede with every article sold on Pakistan Day Sale. Daraz would like to join the customers and other companies in order to spread to the spread of smile and promote positivity.",1
8123,"Dinu had developed a topic of life. It was: ""The circumstances of your life do and should not describe or dictate the quality of your personality."" Dinu had these new and exhausting circumstances changed no aspect of their character or life. Although she was sick and painful herself, she still took time to visit when a friend or a relative was sick. Although she was in need, she was always there to help others if necessary. She always had time to speak to her friends. Dinus Bible topic was Col 4: 2 ""very seriously in prayer and vigilant with Thanksgiving.""",1
7790,"As a child, I was always told that I should give those who are in need. I grew up to believe that I will find my way to hell if I don't give the needy. Because of these teachings that were penetrated in me, I was generally sympathetic to the needy. After all, it is said in the Holy Writings that ""there is a blessing than to be received"". When I grew up, I did my mind from this term. I'm just sorry to see how a familiar face on the street on the street Bitt Tag.",1
6087,Father Campbell comes from a house that had financial difficulties and always strives to implement projects that help to make the faces of the needy smile.,1
5719,"Pope Francis visited a refugee center to wash and kiss the feet of Muslim, Orthodox, Hindu and Catholic refugees.",1
715,"The team manager of Mombasa County, Anisa Abdala, asked the company community to sponsor various teams in order to show solidarity with disabled people.",1
7637,"Another nice memory that I appreciate was the day he and I came out of the mosque when two men approached him and prompted him to give them money. They said they hadn't eaten all day. My father was the nicest person I have ever known. He would give his last penny in need. So he gave the men the money he had with him. ""I don't have much with myself now, but I'm a salary earner and the month will end in a few days. You need more than me,"" he said.",1
5129,"""The whole experience made me think about how many other poor families do this,"" she said.",1
9584,"According to Betty-Ann Blaine, managing director of Hear the Children's Cry, deterioration in family life; Instability/relocation of households; paralyzing levels of poverty; Lack of adequate social support systems and heartbreaking level of hopelessness are key factors that lead to children who run out of the houses.",1
2532,The renowned cook feeds Ros homelessly with excess Olympic food,1
4693,"The games are also in line with the goals of the Kaiser Gaza International Foundation, the disabled, the marginalized rural forks, women, children and the old, underprivileged, unhappy in society to integrate them into the mainstream society so that they play an active role in the general development of the world.",1
6448,"According to details, Prime Minister Nawaz Sharif received a formal approval of the 105.01 million rupees as compensation, including 39 million RS, which were shown for 39 martyrs, 25.6 million for 129 seriously injured/disabled people, 36.5 million RS For 73 part and 4 million RS will be given for four completely damaged houses by Indian fire, the spokesman for the AJK government, Raja Azhar Iqbal, said the agency here to the agency late Thursday.",1
4358,"The above numbers include men, but have decided to move out women- our mother- as appreciation of their love for children. They paint a very dark picture and demand all efforts to protect women and children around the world. When you read through the lines, you have to tell a very touching story about your own mother or mother of your neighbor.",1
3268,"Lilia Caberio comes from Sulangan in the Philippines. In 2013, her house was destroyed by the 170 miles an hour and 6-meter high-storm surge during the Taifun Haiyan and lived with her family in a tent for a while where her home was located. The typhoon was terrifying enough for Lilia, but homelessness must have felt even more. To Elizabeth.",1
2396,"The letter ended with the call of the bishops to create a church that hears ""the hungry, the detained, the migrant and the abused"".",1
567,"The English actor Benedict Cumberbatch makes an emotional plea for Syrian refugees. On Thursday, September 10th, at a curtain of a appearance in London, he asked the audience to donate money to save the children to support refugees.",1
1217,"""I suddenly had the urge to look for a Filipino family who lives on the street and made them helping hand. I talk about people who are forced into homelessness by poverty.",1
